Rank,Player
286,* Trea Turner 2B | WAS  
287,Melky Cabrera LF | CHW  
288,* Jackie Bradley CF | BOS  
289,Jayson Werth RF | WAS  
290,Asdrubal Cabrera SS | NYM  $1 
291,* Zack Cozart SS | CIN  
292,Yunel Escobar 3B | LAA  
293,* Jake Lamb 3B | ARI  
294,Jed Lowrie 3B | OAK  
295,* Wilson Ramos C | WAS  
296,Alex Wood SP | LAD  
297,* Erasmo Ramirez SP | TB  
298,* Lucas Giolito SP | WAS  
299,* Archie Bradley SP | ARI  
300,* J.A. Happ SP | TOR  
