Arya's Needlework Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,7/22-7/28,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
P,"Miley, Wade(P) ARI ","Home: 7 (CHC,SD)Away: 0 ",174,245,78%,53%,3.553,1.3174,10,147,0
P,"Sabathia, CC(P) NYY ",Home: 3 (TB)Away: 4 (@TEX),26,276,89%,57%,4.777,1.3697,14,175,0
P,"Sanchez, Anibal(P) DET ",Home: 3 (PHI)Away: 4 (@CHW),175,50,97%,85%,2.571,1.1538,14,202,0

Bench (P),"Price, David(P) TB ","Home: 0 Away: 6 (@BOS,@NYY)",10,147,96%,84%,3.327,1.0982,10,151,0
"Active: 16, Reserve: 5, Injured: 2"

Tyrion Shoelaces Batters
,,Schedule,Rankings,,Trends,,Stats,,,,,
Pos,Active Batters,7/22-7/28,Proj.,Actual,Own,Start,BA,R,HR,RBI,SB,
C,"Castro, Jason(C) HOU ",Home: 3 (OAK)Away: 4 (@TOR),480,178,71%,45%,0.2759,63,18,56,2
1B,"Encarnacion, Edwin(1B,3B) TOR ","Home: 7 (LAD,HOU)Away: 0 ",57,16,91%,64%,0.2717,90,36,104,7
2B,"Pedroia, Dustin(2B) BOS ",Home: 3 (TB)Away: 3 (@BAL),14,36,99%,97%,0.3011,91,9,84,17
3B,"Machado, Manny(3B) BAL ",Home: 3 (BOS)Away: 4 (@KC),296,77,96%,84%,0.2834,88,14,71,6
SS,"Ramirez, Hanley(3B,SS) LAD ",Home: 4 (CIN)Away: 3 (@TOR),72,74,98%,84%,0.3454,62,20,57,10
OF,"McCutchen, Andrew(OF) PIT ","Home: 0 Away: 7 (@WAS,@MIA)",29,7,100%,98%,0.3173,97,21,84,27
OF,"Nava, Daniel(1B,OF) BOS ",Home: 3 (TB)Away: 3 (@BAL),754,129,68%,45%,0.3035,77,12,66,0
OF,"Trumbo, Mark(1B,OF) LAA ",Home: 3 (MIN)Away: 4 (@OAK),111,51,99%,94%,0.2339,85,34,100,5
DH,"Harper, Bryce(OF) WAS ","Home: 7 (PIT,NYM)Away: 0 ",42,108,99%,88%,0.2736,71,20,58,11

Bench (C),"Perez, Salvador(C) KC ",Home: 4 (BAL)Away: 3 (@CHW),86,168,85%,72%,0.2923,48,13,79,0
