Rank,Player,Expert
221,Reynaldo Lopez SP | CHW  $1 ,1
222,Dylan Bundy SP | BAL  $1 ,1
223,Andrelton Simmons SS | LAA $1 ,1
224,Eric Hosmer 1B | SD $1 ,1
225,Matt Olson 1B | OAK  $1 ,1
226,* Tyler White 1B | HOU $1 ,1
227,DJ LeMahieu 2B | NYY $1 ,1
228,* Kevin Gausman SP | ATL  $1 ,1
229,Jake Junis SP | KC  $1 ,1
230,* Franmil Reyes RF | SD  $1 ,1
231,* Alex Colome RP | CHW  $1 ,1
232,* Hunter Strickland RP | SEA  $1 ,1
233,* Billy Hamilton CF | KC $1 ,1
234,* Garrett Hampson SS | COL $1 ,1
235,Cesar Hernandez 2B | PHI  $1 ,1
236,Paul DeJong SS | STL $1 ,1
237,Will Smith RP | SF $1 ,1
238,Jose Martinez 1B | STL  $1 ,1
239,* Corey Knebel RP | MIL  $1 ,1
240,Julio Teheran SP | ATL  $1 ,1
241,Michael Wacha SP | STL $1 ,1
242,* Brad Keller RP | KC $1 ,1
243,* Greg Holland RP | ARI  $1 ,1
244,* Kyle Wright RP | ATL  $1 ,1
245,Justin Smoak 1B | TOR  $1 ,1
246,Francisco Cervelli C | PIT $1 ,1
247,Yoan Moncada 2B | CHW  $1 ,1
248,Ketel Marte 2B | ARI  $1 ,1
249,Eduardo Escobar 3B | ARI  $1 ,1
250,Asdrubal Cabrera 2B | TEX $1 ,1
251,* Robinson Chirinos C | HOU $1 ,1
252,* Welington Castillo C | CHW  $1 ,1
253,* Odubel Herrera CF | PHI  ,1
254,Shin-Soo Choo DH | TEX ,1
255,* Forrest Whitley SP | HOU  ,1
256,Jed Lowrie 2B | NYM  ,1
257,* Ian Desmond 1B | COL  ,1
258,* Austin Meadows RF | TB ,1
259,* Yuli Gurriel 1B | HOU  ,1
260,* Jeremy Jeffress RP | MIL  ,1
261,Ryan Yarbrough RP | TB  ,1
262,Mike Minor SP | TEX  ,1
263,* Luke Weaver SP | ARI  ,1
264,* Michael Pineda SP | MIN  ,1
265,* Blake Parker RP | MIN ,1
266,* Mychal Givens RP | BAL ,1
267,* Randal Grichuk RF | TOR  ,1
268,* Maikel Franco 3B | PHI ,1
269,* Hunter Renfroe LF | SD  ,1
270,Josh Bell 1B | PIT  ,1
271,Brandon Belt 1B | SF ,1
272,* Jorge Polanco SS | MIN  ,1
273,Kyle Schwarber LF | CHC  ,1
274,* Max Kepler RF | MIN ,1
275,* Byron Buxton CF | MIN  ,1
276,* Pedro Strop RP | CHC  ,1
277,Kyle Seager 3B | SEA  ,1
278,Jake Lamb 3B | ARI  ,1
279,Miguel Sano 3B | MIN  ,1
280,Trevor Williams SP | PIT  ,1
281,Dereck Rodriguez SP | SF ,1
282,* Anibal Sanchez SP | WAS ,1
283,Tanner Roark SP | CIN  ,1
284,* Matthew Boyd SP | DET  ,1
285,Mike Fiers SP | OAK  ,1
286,* Drew Steckenrider RP | MIA ,1
287,* Amed Rosario SS | NYM ,1
288,* Trevor May RP | MIN  ,1
289,* A.J. Minter RP | ATL  ,1
290,* Jordan Lyles RP | PIT  ,1
291,* Jackie Bradley CF | BOS ,1
292,* Yonny Chirinos RP | TB ,1
293,* Archie Bradley RP | ARI  ,1
294,* Andrew Miller RP | STL  ,1
295,Ryan Braun LF | MIL  ,1
296,* Austin Hays RF | BAL  ,1
297,* Kyle Tucker LF | HOU ,1
298,* Jake Bauers 1B | CLE ,1
299,Marcus Semien SS | OAK  ,1
300,* Greg Bird 1B | NYY,1
1,Mookie Betts RF | BOS $50 ,2
