Rank,Player,Expert
173,* Luke Weaver SP | ARI  $2 ,2
174,Jon Lester SP | CHC  $2 ,2
175,Marcus Stroman SP | TOR  $4 ,2
176,Jake Arrieta SP | PHI  $2 ,2
177,* Odubel Herrera CF | PHI  $5 ,2
178,* Harrison Bader CF | STL $5 ,2
179,Ryan Braun LF | MIL  $5 ,2
180,Mike Foltynewicz SP | ATL  $5 ,2
181,Andrew Heaney SP | LAA  $4 ,2
182,Tyler Skaggs SP | LAA  $4 ,2
183,Hyun-Jin Ryu SP | LAD $3 ,2
184,Eduardo Rodriguez SP | BOS  $1 ,2
185,* Corey Dickerson LF | PIT  $3 ,2
186,* Ken Giles RP | TOR  $3 ,2
187,Wil Myers LF | SD  $2 ,2
188,* Miguel Andujar 3B | NYY $2 ,2
189,Kyle Seager 3B | SEA  $2 ,2
190,* Jeimer Candelario 3B | DET $2 ,2
191,* Josh Hader RP | MIL $2 ,2
192,* Collin McHugh RP | HOU  $2 ,2
193,Marco Gonzales SP | SEA  $1 ,2
194,Carlos Rodon SP | CHW  $2 ,2
195,Kyle Gibson SP | MIN  $2 ,2
196,* Ramon Laureano CF | OAK  $2 ,2
197,* Domingo Santana RF | SEA $2 ,2
198,* Byron Buxton CF | MIN  $1 ,2
199,Steven Souza RF | ARI $1 ,2
200,Yoan Moncada 2B | CHW  $1 ,2
201,* Vince Velasquez SP | PHI $1 ,2
202,Joe Musgrove SP | PIT  $1 ,2
203,Zach Eflin SP | PHI  $1 ,2
204,DJ LeMahieu 2B | NYY  $1 ,2
205,* Nick Senzel 2B | CIN $1 ,2
206,Will Smith RP | SF $1 ,2
207,Dereck Rodriguez SP | SF $1 ,2
208,* Brad Keller RP | KC  $1 ,2
209,* Andrew Miller RP | STL $1 ,2
210,* Nathan Eovaldi SP | BOS  $1 ,2
211,Francisco Cervelli C | PIT  $8 ,2
212,* Welington Castillo C | CHW  $1 ,2
213,* Francisco Mejia C | SD  $1 ,2
214,* Kevin Gausman SP | ATL  $1 ,2
215,* Yuli Gurriel 1B | HOU  $1 ,2
216,Zack Cozart 3B | LAA  $1 ,2
217,Justin Smoak 1B | TOR  $1 ,2
218,Kyle Freeland SP | COL  $1 ,2
219,* Jimmy Nelson SP | MIL  $1 ,2
220,Reynaldo Lopez SP | CHW  $1 ,2
221,* Josh James SP | HOU  $1 ,2
222,* Alex Reyes SP | STL  $1 ,2
223,* Jackie Bradley CF | BOS  $1 ,2
224,Trevor Richards SP | MIA  $1 ,2
225,Kyle Schwarber LF | CHC  $1 ,2
226,* Joc Pederson LF | LAD $1 ,2
227,* Hunter Renfroe LF | SD  $1 ,2
228,* Kyle Tucker LF | HOU  $1 ,2
229,* Billy Hamilton CF | KC $1 ,2
230,Jose Martinez 1B | STL  $1 ,2
231,Josh Bell 1B | PIT $1 ,2
232,* Pete Alonso 1B | NYM  $1 ,2
233,* Luke Voit 1B | NYY  $1 ,2
234,* Shohei Ohtani DH | LAA  $1 ,2
235,* Tyler White 1B | HOU  $1 ,2
236,Kole Calhoun RF | LAA $1 ,2
237,* Ian Desmond 1B | COL $1 ,2
238,Brandon Belt 1B | SF  $1 ,2
239,* Marwin Gonzalez LF | MIN  ,2
240,Yonder Alonso 1B | CHW  $1 ,2
241,Andrelton Simmons SS | LAA  $1 ,2
