Rank,Player,Trends,Avg Pick,HI/LO,% Drafted,
154,Jhoulys Chacin SP | MIL ,,154.44, 94/226,85.3
155,Edwin Encarnacion DH | SEA, +2,154.58, 92/210,85.7
156,Francisco Cervelli C | PIT , +19,155.91, 84/229,90.6
157,Matt Olson 1B | OAK , +2,156.25, 70/217,78.4
158,Jose Leclerc RP | TEX , +8,157.32, 84/239,80.8
159,Jon Gray SP | COL, +4,157.41, 108/218,86.5
160,Victor Robles CF | WAS  *, -8,157.56, 78/217,75.9
161,Rafael Devers 3B | BOS , +16,157.77, 76/213,81.6
162,Nick Pivetta SP | PHI *, -1,158.88, 100/219,83.3
163,Kirby Yates RP | SD  *, +8,159.09, 87/237,69.8
164,Yusei Kikuchi SP | SEA  *, -8,160.10, 57/220,84.1
165,Josh Hader RP | MIL *, -12,160.47, 71/257,66.5
166,Ross Stripling SP | LAD  *, +1,161.03, 97/245,89.8
167,Nomar Mazara RF | TEX *, +1,164.17, 93/215,81.2
168,Zack Godley SP | ARI , -13,164.27, 110/219,83.7
169,Luke Voit 1B | NYY  *, +25,165.15, 93/225,82.0
170,Miguel Cabrera 1B | DET  *, +4,165.17, 86/245,81.2
171,Jose Quintana SP | CHC, +1,165.63, 117/216,83.7
172,Paul DeJong SS | STL , +7,166.22, 71/244,69.0
173,Yuli Gurriel 1B | HOU  *, +16,166.74, 85/244,69.4
174,Stephen Piscotty RF | OAK  *, +8,166.97, 101/214,80.8
175,Tyler Glasnow RP | TB  *, -6,169.16, 105/246,78.0
176,Kyle Schwarber LF | CHC , +23,169.28, 82/245,73.5
177,Ken Giles RP | TOR  *, +19,170.81, 92/244,73.9
178,Robinson Chirinos C | HOU  *, +3,171.76, 89/255,85.7
179,Nick Markakis RF | ATL , +19,172.01, 94/253,74.3
180,Andrelton Simmons SS | LAA , -20,172.09, 83/251,60.8
181,Cody Allen RP | LAA, -8,173.13, 94/263,72.2
182,Maikel Franco 3B | PHI  *, +36,174.20, 87/250,69.4
183,Yoan Moncada 2B | CHW , +10,174.54, 75/247,57.1
184,Jesus Luzardo SP | OAK  *, -14,174.98, 96/237,70.6
185,Rich Hill SP | LAD, -7,175.23, 117/233,82.9
186,Ender Inciarte CF | ATL , +2,176.95, 115/233,69.4
187,Danny Jansen C | TOR  *, +4,177.20, 113/224,84.9
188,Dee Gordon 2B | SEA, +4,177.40, 109/250,70.2
189,Brad Peacock RP | HOU  *, +17,178.10, 82/249,64.9
190,Arodys Vizcaino RP | ATL  *, -6,178.12, 102/282,59.6
191,Shohei Ohtani DH | LAA  *, -33,178.87, 77/255,72.7
192,Sean Newcomb SP | ATL  *, -12,179.61, 103/232,78.4
